species,Guam,Rota,Aguiguan,Tinian,Saipan,Medinilla,Anatahan,Sarigan,Guguan,Alamagan,Pagan,Agrihan,Asuncion,Maug,Uracas
Francolinus_francolinus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coturnix_chinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collocalia_bartschi,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Columba_livia,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Streptopelia_bitorquata,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gallinula_chloropus,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Anous_stolidus,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
Fregata_minor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Gygis_alba,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
Sula_leucogaster,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1
Egretta_sacra,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0
Ixobrychus_sinensis,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Corvus_kubaryi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicrurus_macrocercus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplonis_opaca,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Passer_montanus,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Gallus_gallus,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
Todiramphus_chloris,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Gallicolumba_xanthonura,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ptilinopus_roseicapilla,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Sula_sula,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Myzomela_rubratra,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Rhipidura_rufifrons,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Zosterops_rotensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops_conspicillatus,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Sterna_fuscata,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Anous_minutus,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0
Puffinus_pacificus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cleptornis_marchei,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Acrocephalus_luscinius,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Sula_dactylatra,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Megapodius_laperouse,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Sterna_lunata,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Phaethon_rubricauda,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
Phaethon_lepturus,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Monarcha_takatsukasae,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Estrilda_melpoda,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Area (ha),54100,8893,700,10200,12290,90,3513,490,400,1100,4660,4690,740,200,279
sp.r,14,21,17,22,22,9,7,8,15,7,12,7,7,13,6
